id_club_tfmk,nombre_club,url_club_tfmk,nombre_club_tfmk,escudo_club,edad_media_club,valor_mercado_millones_euros_club,id_liga_tfmk,temporada
28633,UE Santa Coloma,/ue-santa-coloma/startseite/verein/28633/saison_id/2023,ue-santa-coloma,https://tmssl.akamaized.net/images/wappen/big/28633.png?lm=1467553539,"26,1","5,26",AND1,2023
64780,Atlètic Club d'Escaldes,/atletic-club-descaldes/startseite/verein/64780/saison_id/2023,atletic-club-descaldes,https://tmssl.akamaized.net/images/wappen/big/64780.png?lm=1545864130,"27,2","4,81",AND1,2023
10854,FC Santa Coloma,/fc-santa-coloma/startseite/verein/10854/saison_id/2023,fc-santa-coloma,https://tmssl.akamaized.net/images/wappen/big/10854.png?lm=1663087873,29,"4,36",AND1,2023
41916,Inter Club d'Escaldes,/inter-club-descaldes/startseite/verein/41916/saison_id/2023,inter-club-descaldes,https://tmssl.akamaized.net/images/wappen/big/41916.png?lm=1475156840,"29,3","4,06",AND1,2023
40270,FC Ordino,/fc-ordino/startseite/verein/40270/saison_id/2023,fc-ordino,https://tmssl.akamaized.net/images/wappen/big/40270.png?lm=1475339441,"25,2","3,42",AND1,2023
62573,Penya Encarnada d'Andorra,/penya-encarnada-dandorra/startseite/verein/62573/saison_id/2023,penya-encarnada-dandorra,https://tmssl.akamaized.net/images/wappen/big/62573.png?lm=1660409976,"26,9","3,34",AND1,2023
64779,Club Esportiu Carroi,/club-esportiu-carroi/startseite/verein/64779/saison_id/2023,club-esportiu-carroi,https://tmssl.akamaized.net/images/wappen/big/64779.png?lm=1604845374,"25,2","2,93",AND1,2023
84028,FC Pas de la Casa,/pas-de-la-casa/startseite/verein/84028/saison_id/2023,pas-de-la-casa,https://tmssl.akamaized.net/images/wappen/big/84028.png?lm=1660409267,"29,6","2,24",AND1,2023
64781,CF Atlètic Amèrica,/cf-atletic-america/startseite/verein/64781/saison_id/2023,cf-atletic-america,https://tmssl.akamaized.net/images/wappen/big/64781.png?lm=1658260282,"27,5","2,05",AND1,2023
100967,CF Esperança d'Andorra,/c-f-esperanca/startseite/verein/100967/saison_id/2023,c-f-esperanca,https://tmssl.akamaized.net/images/wappen/big/100967.png?lm=1687859045,"27,1","1,94",AND1,2023
