id_jugador,nombre_competicion,jornada,fecha_partido,localidad,jugado_para,jugado_contra,resultado,temporada,minutos_jugados
4968,A2,1,12/07/11,A,413,2231,"1:1 ",2011,90
4968,A2,2,15/07/11,H,413,2662,"2:0 ",2011,90
4968,A2,3,18/07/11,A,413,2157,"1:1 ",2011,90
4968,A2,4,22/07/11,H,413,3551,"0:2 ",2011,90
4968,A2,5,29/07/11,A,413,2364,"0:1 ",2011,90
4968,A2,6,02/08/11,H,413,4467,"4:0 ",2011,90
4968,A2,7,12/08/11,A,413,541,"1:1 ",2011,90
4968,A2,10,26/08/11,H,413,2231,"2:1 ",2011,90
4968,A2,11,09/09/11,A,413,2662,"2:2 ",2011,90
4968,A2,12,16/09/11,H,413,2157,"1:1 ",2011,90
4968,A2,13,23/09/11,A,413,3551,"2:0 ",2011,77
4968,A2,14,30/09/11,H,413,2364,"4:0 ",2011,90
4968,A2,15,14/10/11,A,413,4467,"0:2 ",2011,90
4968,A2,16,21/10/11,H,413,541,"0:3 ",2011,62
4968,A2,18,04/11/11,A,413,4441,"1:1 ",2011,90
4968,A2,19,18/11/11,A,413,2231,"1:1 ",2011,90
4968,A2,21,28/11/11,A,413,2157,"2:2 ",2011,45
4968,A2,23,09/03/12,A,413,2364,"1:2 ",2011,20
4968,A2,24,16/03/12,H,413,4467,"1:1 ",2011,58
4968,ofb,1ª Ronda,05/08/11,A,413,4443,"2:5 ",2011,120
4968,ofb,2° Ronda,20/09/11,A,413,4383,"0:5 ",2011,90
4968,ofb,Octavos de final,26/10/11,A,413,409,"2:1 ",2011,90
173480,NO1,3,02/04/16,H,267,239,"0:1 ",2015,3
173480,NO1,4,10/04/16,H,267,687,"1:1 ",2015,73
173480,NO1,5,17/04/16,A,267,1058,"3:0 ",2015,35
173480,NO1,6,21/04/16,H,267,10217,"1:4 ",2015,45
173480,NO1,7,24/04/16,A,267,76,"2:0 ",2015,80
173480,NO1,8,01/05/16,H,267,2817,"2:2 ",2015,90
173480,NO1,9,07/05/16,A,267,1100,"1:0 ",2015,78
173480,NO1,10,12/05/16,H,267,195,"0:2 ",2015,45
173480,NO1,11,16/05/16,A,267,5619,"1:1 ",2015,6
173480,NO1,12,22/05/16,A,267,2038,"2:2 ",2015,3
173480,NO1,13,29/05/16,H,267,1274,"0:5 ",2015,69
173480,NO1,14,02/07/16,A,267,2761,"2:1 ",2015,74
