id_jugador,nombre,url_jugador,nombre_tfmk,fecha_nacimiento,edad,id_pais,altura,posicion,id_club_anterior,pie,fecha_fichaje,id_club,id_temporada,foto_jugador
716423,Emanuel,/emanuel/profil/spieler/716423,emanuel,10/11/2001,22,5,-,Portero,28633, ,01/07/2022,100967,2023,716423
208437,Tete,/tete/profil/spieler/208437,tete,01/12/1993,30,5,-,Portero,26326, ,01/08/2023,100967,2023,208437
730801,Patrick Hiago,/patrick-hiago/profil/spieler/730801,patrick-hiago,21/01/1992,32,26,1.90,Defensa central,64780,derecho,31/01/2024,100967,2023,730801
75945,Miguel Ruiz,/miguel-ruiz/profil/spieler/75945,miguel-ruiz,16/07/1982,41,157,1.82,Defensa central,62573,derecho,25/08/2023,100967,2023,75945
564783,Christian Fernandes,/christian-fernandes/profil/spieler/564783,christian-fernandes,03/06/1998,26,5,-,Defensa central,75, ,01/07/2022,100967,2023,564783
1012113,Oriol Vales,/oriol-vales/profil/spieler/1012113,oriol-vales,23/12/1997,26,5,-,Defensa central,70955, ,01/07/2022,100967,2023,1012113
724631,Iker Álvarez,/iker-alvarez/profil/spieler/724631,iker-alvarez,16/09/2003,20,5,-,Lateral izquierdo,77235, ,31/08/2023,100967,2023,724631
956121,Marco da Silva,/marco-da-silva/profil/spieler/956121,marco-da-silva,01/01/2003,21,5,-,Lateral izquierdo,77235, ,01/08/2023,100967,2023,956121
388511,Javi López,/javi-lopez/profil/spieler/388511,javi-lopez,21/04/1990,34,157,1.80,Lateral izquierdo,515,izquierdo,01/02/2024,100967,2023,388511
408547,Rui Beja,/rui-beja/profil/spieler/408547,rui-beja,14/04/1993,31,136,1.76,Lateral derecho,10854,derecho,01/07/2022,100967,2023,408547
865135,Benet Ferrín,/benet-ferrin/profil/spieler/865135,benet-ferrin,17/07/2000,23,5,-,Lateral derecho,46725, ,01/07/2023,100967,2023,865135
106246,Andreu Ramos,/andreu-ramos/profil/spieler/106246,andreu-ramos,19/01/1989,35,157,1.81,Lateral derecho,10854,derecho,01/08/2023,100967,2023,106246
956119,Hugo Ferreira,/hugo-ferreira/profil/spieler/956119,hugo-ferreira,12/07/2004,19,5,-,Pivote,70372, ,01/07/2023,100967,2023,956119
155908,Albert Ramírez,/albert-ramirez/profil/spieler/155908,albert-ramirez,05/02/1987,37,5,-,Pivote,70955, ,01/07/2022,100967,2023,155908
956103,Hugo Rodrigues,/hugo-rodrigues/profil/spieler/956103,hugo-rodrigues,28/04/2003,21,5,-,Mediocentro,46725,derecho,01/08/2023,100967,2023,956103
629532,Arnau Torrellas,/arnau-torrellas/profil/spieler/629532,arnau-torrellas,27/06/2002,22,5,-,Mediocentro,515,derecho,31/08/2023,100967,2023,629532
198644,Lluis Blanco,/lluis-blanco/profil/spieler/198644,lluis-blanco,15/01/1990,34,5,1.83,Mediocentro,26326, ,01/08/2023,100967,2023,198644
411986,Albert Grau,/albert-grau/profil/spieler/411986,albert-grau,07/07/1999,24,5,-,Mediocentro,105814, ,01/07/2022,100967,2023,411986
473064,Raul Fernandes,/raul-fernandes/profil/spieler/473064,raul-fernandes,15/06/2000,24,5,-,Mediocentro,41885, ,01/07/2022,100967,2023,473064
554194,Marc Joval,/marc-joval/profil/spieler/554194,marc-joval,13/03/1989,35,5,-,Mediocentro,70955, ,01/07/2022,100967,2023,554194
569751,Unai Cruz,/unai-cruz/profil/spieler/569751,unai-cruz,08/01/2002,22,5,1.78,Mediocentro,72919,derecho,01/01/2024,100967,2023,569751
1189218,Juanjo Moreno,/juanjo-moreno/profil/spieler/1189218,juanjo-moreno,18/07/1989,34,157,-,Mediocentro,85407, ,01/08/2022,100967,2023,1189218
473067,Brian Pubill,/brian-pubill/profil/spieler/473067,brian-pubill,26/07/2000,23,5,-,Extremo izquierdo,40270, ,01/08/2023,100967,2023,473067
943859,Alex Rente,/alex-rente/profil/spieler/943859,alex-rente,23/08/2004,19,5,-,Extremo izquierdo,34464, ,01/08/2023,100967,2023,943859
44150,Sergi Moreno,/sergi-moreno/profil/spieler/44150,sergi-moreno,25/11/1987,36,5,1.80,Extremo izquierdo,41916,izquierdo,01/01/2024,100967,2023,44150
649329,Gaby,/gaby/profil/spieler/649329,gaby,16/10/2000,23,5,-,Extremo derecho,26326, ,01/08/2023,100967,2023,649329
564572,Diego Nájera,/diego-najera/profil/spieler/564572,diego-najera,11/12/1994,29,110,1.78,Delantero centro,26326, ,01/08/2023,100967,2023,564572
569756,Joel Ferreira,/joel-ferreira/profil/spieler/569756,joel-ferreira,03/12/2003,20,5,-,Delantero centro,41885, ,01/01/2023,100967,2023,569756
938349,Rober,/rober/profil/spieler/938349,rober,19/09/1992,31,157,1.78,Delantero centro,64781,derecho,01/01/2024,100967,2023,938349
1229488,Tiago Lage,/tiago-lage/profil/spieler/1229488,tiago-lage,20/09/2003,20,5,-,Delantero centro,77235, ,01/01/2024,100967,2023,1229488
1227159,David Rodríguez,/david-rodriguez/profil/spieler/1227159,david-rodriguez,-,,5,-,Delantero centro,11910, ,01/01/2024,100967,2023,1227159
371167,André Alcaráz,/andre-alcaraz/profil/spieler/371167,andre-alcaraz,08/01/2000,24,110,1.85,Portero,515,izquierdo,01/03/2024,10741,2024,371167
1099836,Enzo Arocena,/enzo-arocena/profil/spieler/1099836,enzo-arocena,-,,9,-,Portero,24925, ,01/07/2023,10741,2024,1099836
1179447,Cesar Maneiro,/cesar-maneiro/profil/spieler/1179447,cesar-maneiro,08/04/1993,31,182,-,Portero,24925, ,01/08/2023,10741,2024,1179447
1218912,Xavier Martínez,/xavier-martinez/profil/spieler/1218912,xavier-martinez,-,,5,-,Portero,515, ,01/01/2024,10741,2024,1218912
1131071,Anwar Hernández,/anwar-hernandez/profil/spieler/1131071,anwar-hernandez,17/03/1995,29,110,1.86,Defensa,515, ,21/04/2024,10741,2024,1131071
564784,Chema Ramírez,/chema-ramirez/profil/spieler/564784,chema-ramirez,21/09/1995,28,110,1.91,Defensa central,84028,derecho,01/01/2024,10741,2024,564784
974934,Isaac Caracuel,/isaac-caracuel/profil/spieler/974934,isaac-caracuel,-,,157,-,Defensa central,64781, ,01/01/2024,10741,2024,974934
686422,Ángel Marchegiani,/angel-marchegiani/profil/spieler/686422,angel-marchegiani,14/02/1990,34,9,1.95,Defensa central,24925, ,01/01/2023,10741,2024,686422
744516,Hélder dos Santos,/helder-dos-santos/profil/spieler/744516,helder-dos-santos,01/01/2000,24,136,-,Defensa central,41886, ,01/01/2024,10741,2024,744516
1198880,Ariel Coury,/ariel-coury/profil/spieler/1198880,ariel-coury,02/05/1987,37,9,1.89,Defensa central,24925, ,01/07/2023,10741,2024,1198880
898749,Tobias Nkounkou,/tobias-nkounkou/profil/spieler/898749,tobias-nkounkou,23/11/2000,23,5,-,Defensa central,76916, ,01/07/2017,10741,2024,898749
554319,Rayco Rodriguez,/rayco-rodriguez/profil/spieler/554319,rayco-rodriguez,12/07/1989,35,157,1.72,Defensa central,100967, ,01/07/2023,10741,2024,554319
