id_liga,url_tfmk,nombre,enlace_img_liga,id_pais,num_clubes,num_jugadores,edad_media,porcentaje_extranjeros,valor_de_mercado_medio,valor_de_mercado_total
LI1,/a-lyga/startseite/wettbewerb/LI1,A Lyga,https://tmssl.akamaized.net/images/logo/tiny/li1.png?lm=1705689268,98,10,259,"25,4","45,6 %",NULL,NULL
MO1N,/super-liga/startseite/wettbewerb/MO1N,Super Liga,https://tmssl.akamaized.net/images/logo/tiny/mo1n.png?lm=1666607427,112,8,182,"24,4","31,3 %",NULL,NULL
IR1,/league-of-ireland-premier-division/startseite/wettbewerb/IR1,League of Ireland Premier Division,https://tmssl.akamaized.net/images/logo/tiny/ir1.png?lm=1672532090,72,10,309,"24,4","29,8 %",NULL,NULL
IS1,/besta-deild/startseite/wettbewerb/IS1,Besta deild,https://tmssl.akamaized.net/images/logo/tiny/is1.png?lm=1646579749,73,12,305,"25,9","15,1 %",NULL,NULL
MNE1,/meridianbet-1-cfl/startseite/wettbewerb/MNE1,Meridianbet 1. CFL,https://tmssl.akamaized.net/images/logo/tiny/mne1.png?lm=1658245756,216,10,271,"25,9","15,9 %",NULL,NULL
LUX1,/bgl-ligue/startseite/wettbewerb/LUX1,BGL Ligue,https://tmssl.akamaized.net/images/logo/tiny/lux1.png?lm=1404087172,99,16,443,"25,4","62,1 %",NULL,NULL
GHPL,/ghana-premier-league/startseite/wettbewerb/GHPL,Ghana Premier League,https://tmssl.akamaized.net/images/logo/tiny/ghpl.png?lm=1694436494,54,18,504,"24,1","2,8 %",NULL,NULL
NEDC,/nedbank-cup/startseite/wettbewerb/NEDC,Nedbank Cup,https://tmssl.akamaized.net/images/logo/tiny/nedc.png?lm=1675780756,159,40,1.213,"27,7","9,1 %",NULL,NULL
MARP,/coupe-du-trone-marocaine/startseite/wettbewerb/MARP,Coupe du Trône Marocaine,https://tmssl.akamaized.net/images/logo/tiny/marp.png?lm=1649264115,107,32,928,"26,9","12,2 %",NULL,NULL
ES1,/laliga/startseite/wettbewerb/ES1,LaLiga,https://tmssl.akamaized.net/images/logo/tiny/es1.png?lm=1688466074,157,20,501,"26,9","38,3 %",NULL,NULL
IT1,/serie-a/startseite/wettbewerb/IT1,Serie A,https://tmssl.akamaized.net/images/logo/tiny/it1.png?lm=1656073460,75,20,640,"25,7","63,3 %",NULL,NULL
QSL,/qatar-stars-league/startseite/wettbewerb/QSL,Qatar Stars League,https://tmssl.akamaized.net/images/logo/tiny/qsl.png?lm=1404288206,137,12,349,"26,9","31,5 %",NULL,NULL
IN1L,/liga-1-indonesia/startseite/wettbewerb/IN1L,Liga 1 Indonesia,https://tmssl.akamaized.net/images/logo/tiny/in1l.png?lm=1628819483,68,18,615,"26,5","21,5 %",NULL,NULL
MYS1,/malaysia-super-league/startseite/wettbewerb/MYS1,Malaysia Super League,https://tmssl.akamaized.net/images/logo/tiny/mys1.png?lm=1675176671,103,13,398,"27,5","24,6 %",NULL,NULL
NSL1,/national-league-south/startseite/wettbewerb/NSL1,National League - South,https://tmssl.akamaized.net/images/logo/tiny/nsl1.png?lm=1705543200,120,10,325,"23,9","16,6 %",NULL,NULL
PO1,/liga-portugal/startseite/wettbewerb/PO1,Liga Portugal,https://tmssl.akamaized.net/images/logo/tiny/po1.png?lm=1688630708,136,18,483,"25,5","60,9 %",NULL,NULL
NL1,/eredivisie/startseite/wettbewerb/NL1,Eredivisie,https://tmssl.akamaized.net/images/logo/tiny/nl1.png?lm=1674743474,122,18,471,"24,6","48,6 %",NULL,NULL
TR1,/super-lig/startseite/wettbewerb/TR1,Süper Lig,https://tmssl.akamaized.net/images/logo/tiny/tr1.png?lm=1722500675,174,19,617,"25,9","41,7 %",NULL,NULL
RU1,/premier-liga/startseite/wettbewerb/RU1,Premier Liga,https://tmssl.akamaized.net/images/logo/tiny/ru1.png?lm=1674741180,141,16,439,"25,7","37,4 %",NULL,NULL
GR1,/super-league-1/startseite/wettbewerb/GR1,Super League 1,https://tmssl.akamaized.net/images/logo/tiny/gr1.png?lm=1717678505,56,14,392,"26,9","56,4 %",NULL,NULL
A1,/bundesliga/startseite/wettbewerb/A1,Bundesliga,https://tmssl.akamaized.net/images/logo/tiny/a1.png?lm=1625144794,127,12,346,"24,3","42,2 %",NULL,NULL
DK1,/superliga/startseite/wettbewerb/DK1,Superliga,https://tmssl.akamaized.net/images/logo/tiny/dk1.png?lm=1648289858,39,12,338,"24,6","45,6 %",NULL,NULL
TS1,/chance-liga/startseite/wettbewerb/TS1,Chance Liga,https://tmssl.akamaized.net/images/logo/tiny/ts1.png?lm=1719989400,172,16,462,"25,7","30,1 %",NULL,NULL
SER1,/super-liga-srbije/startseite/wettbewerb/SER1,Super liga Srbije,https://tmssl.akamaized.net/images/logo/tiny/ser1.png?lm=1659602188,215,16,540,"24,8","26,3 %",NULL,NULL
PL1,/pko-bp-ekstraklasa/startseite/wettbewerb/PL1,PKO BP Ekstraklasa,https://tmssl.akamaized.net/images/logo/tiny/pl1.png?lm=1601990839,135,18,560,"24,9","37,7 %",NULL,NULL
MEXA,/liga-mx-apertura/startseite/wettbewerb/MEXA,Liga MX Apertura,https://tmssl.akamaized.net/images/logo/tiny/mexa.png?lm=1406287644,110,18,484,"26,8","34,7 %",NULL,NULL
COL1,/liga-dimayor-finalizacion/startseite/wettbewerb/COL1,Liga Dimayor Finalización,https://tmssl.akamaized.net/images/logo/tiny/col1.png?lm=1630312566,83,20,595,"26,9","10,4 %",NULL,NULL
EL1A,/ligapro-serie-a-primera-etapa/startseite/wettbewerb/EL1A,LigaPro Serie A Primera Etapa,https://tmssl.akamaized.net/images/logo/tiny/el1a.png?lm=1581952112,44,16,432,27,"24,1 %",NULL,NULL
URUI,/torneo-intermedio/startseite/wettbewerb/URUI,Torneo Intermedio,https://tmssl.akamaized.net/images/logo/tiny/urui.png?lm=1499525497,179,16,445,"26,2","11,7 %",NULL,NULL
TDeC,/liga-1-clausura/startseite/wettbewerb/TDeC,Liga 1 Clausura,https://tmssl.akamaized.net/images/logo/tiny/tdec.png?lm=1566312054,133,18,512,"27,1","22,5 %",NULL,NULL
PR1A,/primera-division-apertura/startseite/wettbewerb/PR1A,Primera División Apertura,https://tmssl.akamaized.net/images/logo/tiny/pr1a.png?lm=1586638106,132,12,375,"27,2","18,7 %",NULL,NULL
B1AP,/division-profesional-apertura/startseite/wettbewerb/B1AP,División Profesional Apertura,https://tmssl.akamaized.net/images/logo/tiny/b1ap.png?lm=1638148860,23,16,471,"27,4","26,1 %",NULL,NULL
BO1C,/division-profesional-clausura/startseite/wettbewerb/BO1C,División Profesional Clausura,https://tmssl.akamaized.net/images/logo/tiny/bo1c.png?lm=1602510566,23,16,471,"27,4","26,1 %",NULL,NULL
VZ1C,/liga-futve-clausura/startseite/wettbewerb/VZ1C,Liga FUTVE Clausura,https://tmssl.akamaized.net/images/logo/tiny/vz1c.png?lm=1542035540,182,14,483,"26,4","18,6 %",NULL,NULL
CRPD,/primera-division-apertura/startseite/wettbewerb/CRPD,Primera División Apertura,https://tmssl.akamaized.net/images/logo/tiny/crpd.png?lm=1638269214,36,12,330,"27,4","19,4 %",NULL,NULL
PDV1,/primera-division-clausura/startseite/wettbewerb/PDV1,Primera División Clausura,https://tmssl.akamaized.net/images/logo/tiny/pdv1.png?lm=1638269247,36,12,330,"27,4","19,4 %",NULL,NULL
GU1A,/liga-guate-apertura/startseite/wettbewerb/GU1A,Liga Guate Apertura,https://tmssl.akamaized.net/images/logo/tiny/gu1a.png?lm=1685607525,58,12,334,"27,2","20,7 %",NULL,NULL
SL1A,/primera-division-apertura/startseite/wettbewerb/SL1A,Primera División Apertura,https://tmssl.akamaized.net/images/logo/tiny/sl1a.png?lm=1697094038,45,12,297,"27,6","16,8 %",NULL,NULL
KR1,/supersport-hnl/startseite/wettbewerb/KR1,SuperSport HNL,https://tmssl.akamaized.net/images/logo/tiny/kr1.png?lm=1667669232,37,10,317,"24,6","30,6 %",NULL,NULL
GB2,/championship/startseite/wettbewerb/GB2,Championship,https://tmssl.akamaized.net/images/logo/tiny/gb2.png?lm=1692214857,189,24,615,"25,9","56,4 %",NULL,NULL
L2,/2-bundesliga/startseite/wettbewerb/L2,2. Bundesliga,https://tmssl.akamaized.net/images/logo/tiny/l2.png?lm=1525905553,40,18,523,"25,3","28,9 %",NULL,NULL
FR2,/ligue-2/startseite/wettbewerb/FR2,Ligue 2,https://tmssl.akamaized.net/images/logo/tiny/fr2.png?lm=1719821816,50,18,436,"26,2","47,9 %",NULL,NULL
BE2,/challenger-pro-league/startseite/wettbewerb/BE2,Challenger Pro League,https://tmssl.akamaized.net/images/logo/tiny/be2.png?lm=1656930062,19,16,385,"23,7","44,4 %",NULL,NULL
