id_temporada,fecha_inicio,fecha_fin,temporada
2010,2010-08-01,2011-07-31,10/11
2011,2011-08-01,2012-07-31,11/12
2012,2012-08-01,2013-07-31,12/13
2013,2013-08-01,2014-07-31,13/14
2014,2014-08-01,2015-07-31,14/15
2015,2015-08-01,2016-07-31,15/16
2016,2016-08-01,2017-07-31,16/17
2017,2017-08-01,2018-07-31,17/18
2018,2018-08-01,2019-07-31,18/19
2019,2019-08-01,2020-07-31,19/20
2020,2020-08-01,2021-07-31,20/21
2021,2021-08-01,2022-07-31,21/22
2022,2022-08-01,2023-07-31,22/23
2023,2023-08-01,2024-07-31,23/24
2024,2024-08-01,2025-07-31,24/25
