,id_club_tfmk,nombre_club,url_club_tfmk,nombre_club_tfmk,escudo_club,edad_media_club,valor_mercado_millones_euros_club,id_liga_tfmk,temporada
0,419,GNK Dinamo Zagreb,/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2023,gnk-dinamo-zagreb,https://tmssl.akamaized.net/images/wappen/tiny/419.png?lm=1571921138,25.2,69.35,KR1,1
1,447,HNK Hajduk Split,/hnk-hajduk-split/startseite/verein/447/saison_id/2023,hnk-hajduk-split,https://tmssl.akamaized.net/images/wappen/tiny/447.png?lm=1673717761,25.1,56.68,KR1,1
2,144,HNK Rijeka,/hnk-rijeka/startseite/verein/144/saison_id/2023,hnk-rijeka,https://tmssl.akamaized.net/images/wappen/tiny/144.png?lm=1582550780,24.0,34.43,KR1,1
3,327,NK Osijek,/nk-osijek/startseite/verein/327/saison_id/2023,nk-osijek,https://tmssl.akamaized.net/images/wappen/tiny/327.png?lm=1488628710,24.0,16.75,KR1,1
4,24575,HNK Gorica,/hnk-gorica/startseite/verein/24575/saison_id/2023,hnk-gorica,https://tmssl.akamaized.net/images/wappen/tiny/24575.png?lm=1438118371,25.1,12.5,KR1,1
5,11194,NK Lokomotiva Zagreb,/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2023,nk-lokomotiva-zagreb,https://tmssl.akamaized.net/images/wappen/tiny/11194.png?lm=1505567651,22.9,11.3,KR1,1
6,999,NK Istra 1961,/nk-istra-1961/startseite/verein/999/saison_id/2023,nk-istra-1961,https://tmssl.akamaized.net/images/wappen/tiny/999.png?lm=1458922256,23.8,10.05,KR1,1
7,599,NK Varazdin,/nk-varazdin/startseite/verein/599/saison_id/2023,nk-varazdin,https://tmssl.akamaized.net/images/wappen/tiny/599.png?lm=1613048309,24.7,8.38,KR1,1
8,2362,Slaven Belupo Koprivnica,/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2023,slaven-belupo-koprivnica,https://tmssl.akamaized.net/images/wappen/tiny/2362.png?lm=1673559143,24.1,5.9,KR1,1
9,11083,NK Rudes,/nk-rudes/startseite/verein/11083/saison_id/2023,nk-rudes,https://tmssl.akamaized.net/images/wappen/tiny/11083.png?lm=1538421936,24.5,5.71,KR1,1
