,id_tfmk,nombre,enlace_tfmk,nombre_tfmk,escudo,edad_media,valor_mercado_millones_euros,id_liga
0,281,Manchester City,/manchester-city/startseite/verein/281/saison_id/2023,manchester-city,https://tmssl.akamaized.net/images/wappen/tiny/281.png?lm=1467356331,26.7,1000.27,GB1
1,11,Arsenal FC,/fc-arsenal/startseite/verein/11/saison_id/2023,fc-arsenal,https://tmssl.akamaized.net/images/wappen/tiny/11.png?lm=1489787850,25.3,1000.12,GB1
2,631,Chelsea FC,/fc-chelsea/startseite/verein/631/saison_id/2023,fc-chelsea,https://tmssl.akamaized.net/images/wappen/tiny/631.png?lm=1682435911,23.2,980.1,GB1
3,31,Liverpool FC,/fc-liverpool/startseite/verein/31/saison_id/2023,fc-liverpool,https://tmssl.akamaized.net/images/wappen/tiny/31.png?lm=1456567819,25.6,874.6,GB1
4,148,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148/saison_id/2023,tottenham-hotspur,https://tmssl.akamaized.net/images/wappen/tiny/148.png?lm=1544345801,25.5,773.8,GB1
5,985,Manchester United,/manchester-united/startseite/verein/985/saison_id/2023,manchester-united,https://tmssl.akamaized.net/images/wappen/tiny/985.png?lm=1457975903,26.0,745.25,GB1
6,762,Newcastle United,/newcastle-united/startseite/verein/762/saison_id/2023,newcastle-united,https://tmssl.akamaized.net/images/wappen/tiny/762.png?lm=1472921161,27.3,641.7,GB1
7,405,Aston Villa,/aston-villa/startseite/verein/405/saison_id/2023,aston-villa,https://tmssl.akamaized.net/images/wappen/tiny/405.png?lm=1469443765,26.9,627.5,GB1
8,1237,Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2023,brighton-amp-hove-albion,https://tmssl.akamaized.net/images/wappen/tiny/1237.png?lm=1492718902,25.5,501.1,GB1
9,379,West Ham United,/west-ham-united/startseite/verein/379/saison_id/2023,west-ham-united,https://tmssl.akamaized.net/images/wappen/tiny/379.png?lm=1464675260,28.3,479.6,GB1
10,1148,Brentford FC,/fc-brentford/startseite/verein/1148/saison_id/2023,fc-brentford,https://tmssl.akamaized.net/images/wappen/tiny/1148.png?lm=1625150543,25.2,407.78,GB1
11,703,Nottingham Forest,/nottingham-forest/startseite/verein/703/saison_id/2023,nottingham-forest,https://tmssl.akamaized.net/images/wappen/tiny/703.png?lm=1598890289,26.9,389.75,GB1
12,873,Crystal Palace,/crystal-palace/startseite/verein/873/saison_id/2023,crystal-palace,https://tmssl.akamaized.net/images/wappen/tiny/873.png?lm=1457723287,25.9,368.9,GB1
13,29,Everton FC,/fc-everton/startseite/verein/29/saison_id/2023,fc-everton,https://tmssl.akamaized.net/images/wappen/tiny/29.png?lm=1445949846,27.0,336.9,GB1
14,989,AFC Bournemouth,/afc-bournemouth/startseite/verein/989/saison_id/2023,afc-bournemouth,https://tmssl.akamaized.net/images/wappen/tiny/989.png?lm=1457991811,25.7,313.6,GB1
15,931,Fulham FC,/fc-fulham/startseite/verein/931/saison_id/2023,fc-fulham,https://tmssl.akamaized.net/images/wappen/tiny/931.png?lm=1556831687,28.0,313.5,GB1
16,543,Wolverhampton Wanderers,/wolverhampton-wanderers/startseite/verein/543/saison_id/2023,wolverhampton-wanderers,https://tmssl.akamaized.net/images/wappen/tiny/543.png?lm=1467496784,25.9,305.0,GB1
17,1132,Burnley FC,/fc-burnley/startseite/verein/1132/saison_id/2023,fc-burnley,https://tmssl.akamaized.net/images/wappen/tiny/1132.png?lm=1686818840,24.8,255.15,GB1
18,350,Sheffield United,/sheffield-united/startseite/verein/350/saison_id/2023,sheffield-united,https://tmssl.akamaized.net/images/wappen/tiny/350.png?lm=1409254138,25.5,141.45,GB1
19,1031,Luton Town,/luton-town/startseite/verein/1031/saison_id/2023,luton-town,https://tmssl.akamaized.net/images/wappen/tiny/1031.png?lm=1457723228,27.1,104.38,GB1
