,id_tfmk,nombre,enlace_tfmk,nombre_tfmk,escudo,edad_media,valor_mercado_millones_euros,id_liga
0,46,Inter de Milán,/inter-mailand/startseite/verein/46/saison_id/2023,inter-mailand,https://tmssl.akamaized.net/images/wappen/tiny/46.png?lm=1618900989,28.7,588.85,IT1
1,6195,SSC Nápoles,/ssc-neapel/startseite/verein/6195/saison_id/2023,ssc-neapel,https://tmssl.akamaized.net/images/wappen/tiny/6195.png?lm=1688982522,26.2,539.75,IT1
2,5,AC Milan,/ac-mailand/startseite/verein/5/saison_id/2023,ac-mailand,https://tmssl.akamaized.net/images/wappen/tiny/5.png?lm=1605166627,26.0,529.45,IT1
3,506,Juventus de Turín,/juventus-turin/startseite/verein/506/saison_id/2023,juventus-turin,https://tmssl.akamaized.net/images/wappen/tiny/506.png?lm=1626441487,26.4,439.2,IT1
4,800,Atalanta de Bérgamo,/atalanta-bergamo/startseite/verein/800/saison_id/2023,atalanta-bergamo,https://tmssl.akamaized.net/images/wappen/tiny/800.png?lm=1438547428,26.8,333.1,IT1
5,12,AS Roma,/as-rom/startseite/verein/12/saison_id/2023,as-rom,https://tmssl.akamaized.net/images/wappen/tiny/12.png?lm=1701079293,26.6,325.65,IT1
6,430,Fiorentina,/ac-florenz/startseite/verein/430/saison_id/2023,ac-florenz,https://tmssl.akamaized.net/images/wappen/tiny/430.png?lm=1656660160,25.1,252.4,IT1
7,398,SS Lazio,/lazio-rom/startseite/verein/398/saison_id/2023,lazio-rom,https://tmssl.akamaized.net/images/wappen/tiny/398.png?lm=1601537785,27.0,241.63,IT1
8,1025,Bolonia,/fc-bologna/startseite/verein/1025/saison_id/2023,fc-bologna,https://tmssl.akamaized.net/images/wappen/tiny/1025.png?lm=1626441324,24.6,204.05,IT1
9,416,Torino FC,/fc-turin/startseite/verein/416/saison_id/2023,fc-turin,https://tmssl.akamaized.net/images/wappen/tiny/416.png?lm=1438548174,25.0,175.7,IT1
10,6574,US Sassuolo,/us-sassuolo/startseite/verein/6574/saison_id/2023,us-sassuolo,https://tmssl.akamaized.net/images/wappen/tiny/6574.png?lm=1601389908,26.2,148.9,IT1
11,410,Udinese,/udinese-calcio/startseite/verein/410/saison_id/2023,udinese-calcio,https://tmssl.akamaized.net/images/wappen/tiny/410.png?lm=1688982584,25.8,139.4,IT1
12,2919,AC Monza,/ac-monza/startseite/verein/2919/saison_id/2023,ac-monza,https://tmssl.akamaized.net/images/wappen/tiny/2919.png?lm=1562072734,26.5,115.9,IT1
13,252,Génova,/genua-cfc/startseite/verein/252/saison_id/2023,genua-cfc,https://tmssl.akamaized.net/images/wappen/tiny/252.png?lm=1655305880,26.2,110.45,IT1
14,8970,Frosinone Calcio,/frosinone-calcio/startseite/verein/8970/saison_id/2023,frosinone-calcio,https://tmssl.akamaized.net/images/wappen/tiny/8970.png?lm=1438547543,24.9,100.05,IT1
15,380,US Salernitana 1919,/us-salernitana-1919/startseite/verein/380/saison_id/2023,us-salernitana-1919,https://tmssl.akamaized.net/images/wappen/tiny/380.png?lm=1601390035,26.0,93.2,IT1
16,1005,US Lecce,/us-lecce/startseite/verein/1005/saison_id/2023,us-lecce,https://tmssl.akamaized.net/images/wappen/tiny/1005.png?lm=1689169528,23.8,89.33,IT1
17,749,FC Empoli,/fc-empoli/startseite/verein/749/saison_id/2023,fc-empoli,https://tmssl.akamaized.net/images/wappen/tiny/749.png?lm=1626441481,25.9,82.6,IT1
18,1390,Cagliari,/cagliari-calcio/startseite/verein/1390/saison_id/2023,cagliari-calcio,https://tmssl.akamaized.net/images/wappen/tiny/1390.png?lm=1626441409,27.1,75.28,IT1
19,276,Hellas Verona,/hellas-verona/startseite/verein/276/saison_id/2023,hellas-verona,https://tmssl.akamaized.net/images/wappen/tiny/276.png?lm=1617228746,25.0,54.38,IT1
