,id_tfmk,nombre,enlace_tfmk,nombre_tfmk,escudo,edad_media,valor_mercado_millones_euros,id_liga
0,27,Bayern Múnich,/fc-bayern-munchen/startseite/verein/27/saison_id/2023,fc-bayern-munchen,https://tmssl.akamaized.net/images/wappen/tiny/27.png?lm=1498251238,26.5,943.95,L1
1,15,Bayer 04 Leverkusen,/bayer-04-leverkusen/startseite/verein/15/saison_id/2023,bayer-04-leverkusen,https://tmssl.akamaized.net/images/wappen/tiny/15.png?lm=1651221781,24.7,570.55,L1
2,23826,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826/saison_id/2023,rasenballsport-leipzig,https://tmssl.akamaized.net/images/wappen/tiny/23826.png?lm=1619431624,25.3,489.6,L1
3,16,Borussia Dortmund,/borussia-dortmund/startseite/verein/16/saison_id/2023,borussia-dortmund,https://tmssl.akamaized.net/images/wappen/tiny/16.png?lm=1396275280,25.0,488.4,L1
4,82,VfL Wolfsburgo,/vfl-wolfsburg/startseite/verein/82/saison_id/2023,vfl-wolfsburg,https://tmssl.akamaized.net/images/wappen/tiny/82.png?lm=1503060755,24.7,245.2,L1
5,24,Eintracht Fráncfort​​,/eintracht-frankfurt/startseite/verein/24/saison_id/2023,eintracht-frankfurt,https://tmssl.akamaized.net/images/wappen/tiny/24.png?lm=1700074979,24.2,226.35,L1
6,79,VfB Stuttgart,/vfb-stuttgart/startseite/verein/79/saison_id/2023,vfb-stuttgart,https://tmssl.akamaized.net/images/wappen/tiny/79.png?lm=1680587427,23.7,222.9,L1
7,18,Borussia Mönchengladbach,/borussia-monchengladbach/startseite/verein/18/saison_id/2023,borussia-monchengladbach,https://tmssl.akamaized.net/images/wappen/tiny/18.png?lm=1656585796,25.2,203.08,L1
8,60,SC Friburgo,/sc-freiburg/startseite/verein/60/saison_id/2023,sc-freiburg,https://tmssl.akamaized.net/images/wappen/tiny/60.png?lm=1517249279,26.1,189.2,L1
9,89,1.FC Unión Berlín,/1-fc-union-berlin/startseite/verein/89/saison_id/2023,1-fc-union-berlin,https://tmssl.akamaized.net/images/wappen/tiny/89.png?lm=1402956210,27.6,149.95,L1
10,533,TSG 1899 Hoffenheim,/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2023,tsg-1899-hoffenheim,https://tmssl.akamaized.net/images/wappen/tiny/533.png?lm=1675591766,25.2,136.4,L1
11,167,FC Augsburgo,/fc-augsburg/startseite/verein/167/saison_id/2023,fc-augsburg,https://tmssl.akamaized.net/images/wappen/tiny/167.png?lm=1656582897,25.2,115.65,L1
12,39,1.FSV Mainz 05,/1-fsv-mainz-05/startseite/verein/39/saison_id/2023,1-fsv-mainz-05,https://tmssl.akamaized.net/images/wappen/tiny/39.png?lm=1564748880,26.5,102.65,L1
13,3,FC Colonia,/1-fc-koln/startseite/verein/3/saison_id/2023,1-fc-koln,https://tmssl.akamaized.net/images/wappen/tiny/3.png?lm=1656580823,25.1,94.5,L1
14,86,SV Werder Bremen,/sv-werder-bremen/startseite/verein/86/saison_id/2023,sv-werder-bremen,https://tmssl.akamaized.net/images/wappen/tiny/86.png?lm=1403082298,26.3,89.2,L1
15,80,VfL Bochum,/vfl-bochum/startseite/verein/80/saison_id/2023,vfl-bochum,https://tmssl.akamaized.net/images/wappen/tiny/80.png?lm=1656583090,27.4,56.4,L1
16,2036,1.FC Heidenheim 1846,/1-fc-heidenheim-1846/startseite/verein/2036/saison_id/2023,1-fc-heidenheim-1846,https://tmssl.akamaized.net/images/wappen/tiny/2036.png?lm=1685457789,26.0,49.25,L1
17,105,SV Darmstadt 98,/sv-darmstadt-98/startseite/verein/105/saison_id/2023,sv-darmstadt-98,https://tmssl.akamaized.net/images/wappen/tiny/105.png?lm=1501493517,26.2,41.95,L1
