,id_jugador,id_pais_jugador,id_pais_contra,fecha_partido,posicion,minutos_jugados
0,,,,,,6
1,,,,,,90
2,,,,,,27
3,,,,,,24
4,,,,,,45
5,,,,,,6
6,,,,,,16
7,,,,,,31
8,,,,,,18
9,,,,,,45
10,,,,,,90
11,,,,,,90
12,,,,,,75
13,,,,,,45
14,,,,,,90
15,,,,,,66
16,,,,,,24
17,,,,,,31
18,,,,,,63
19,,,,,,90
20,,,,,,45
21,,,,,,13
22,,,,,,90
23,,,,,,7
24,,,,,,90
25,,,,,,12
26,,,,,,65
27,,,,,,2
28,,,,,,74
29,,,,,,90
30,,,,,,90
31,,,,,,7
32,,,,,,61
33,,,,,,45
34,,,,,,9
35,,,,,,21
36,,,,,,45
37,,,,,,90
38,,,,,,90
39,,,,,,68
40,,,,,,77
41,,,,,,88
42,,,,,,1
43,,,,,,78
44,,,,,,29
45,,,,,,45
46,,,,,,64
47,,,,,,89
48,,,,,,90
49,,,,,,85
50,,,,,,45
51,,,,,,90
52,,,,,,70
53,,,,,,28
54,,,,,,17
55,,,,,,64
56,,,,,,24
57,,,,,,75
58,,,,,,12
59,,,,,,73
60,,,,,,16
61,,,,,,58
62,,,,,,69
63,,,,,,83
64,,,,,,65
65,,,,,,63
66,,,,,,75
67,,,,,,79
68,,,,,,14
69,,,,,,20
70,,,,,,57
71,,,,,,17
72,,,,,,45
73,,,,,,15
74,,,,,,90
75,,,,,,45
76,,,,,,31
77,,,,,,45
78,,,,,,75
79,,,,,,82
80,,,,,,75
81,,,,,,45
82,,,,,,72
83,,,,,,66
84,,,,,,12
85,,,,,,12
86,,,,,,34
87,,,,,,9
88,,,,,,16
89,,,,,,86
90,,,,,,7
91,,,,,,15
92,,,,,,72
93,,,,,,8
94,,,,,,45
95,,,,,,40
96,,,,,,34
97,,,,,,5
98,,,,,,45
99,,,,,,45
100,,,,,,78
101,,,,,,18
102,,,,,,90
103,,,,,,45
104,,,,,,65
105,,,,,,25
106,,,,,,84
107,,,,,,73
108,,,,,,19
109,,,,,,14
110,,,,,,28
111,,,,,,1
112,,,,,,45
113,,,,,,27
114,,,,,,25
115,,,,,,1
116,,,,,,1
117,,,,,,31
118,,,,,,28
119,,,,,,45
120,,,,,,26
121,,,,,,90
122,,,,,,66
123,,,,,,1
124,,,,,,2
125,,,,,,45
126,,,,,,29
127,,,,,,45
128,,,,,,1
129,,,,,,66
130,,,,,,88
131,,,,,,90
132,,,,,,67
133,,,,,,6
134,,,,,,45
135,,,,,,18
136,,,,,,26
137,,,,,,45
138,,,,,,4
139,,,,,,59
140,,,,,,11
141,,,,,,90
142,,,,,,29
143,,,,,,68
144,,,,,,45
145,,,,,,87
146,,,,,,68
147,,,,,,90
148,,,,,,2
149,,,,,,6
150,,,,,,21
151,,,,,,45
152,,,,,,37
153,,,,,,90
154,,,,,,45
155,,,,,,45
156,,,,,,90
157,,,,,,11
158,,,,,,14
159,,,,,,90
160,,,,,,90
161,,,,,,45
162,,,,,,30
163,,,,,,80
164,,,,,,68
165,,,,,,45
166,,,,,,45
167,,,,,,21
168,,,,,,69
169,,,,,,85
170,,,,,,84
171,,,,,,90
172,,,,,,90
173,,,,,,18
174,,,,,,83
175,,,,,,28
176,,,,,,10
177,,,,,,20
178,,,,,,30
179,,,,,,15
180,,,,,,18
181,,,,,,45
182,,,,,,47
183,,,,,,52
184,,,,,,84
185,,,,,,55
186,,,,,,13
187,,,,,,45
188,,,,,,45
189,,,,,,27
190,,,,,,8
191,,,,,,45
192,,,,,,70
193,,,,,,72
194,,,,,,76
195,,,,,,55
196,,,,,,22
197,,,,,,90
198,,,,,,90
199,,,,,,1
200,,,,,,45
201,,,,,,90
