,id_tfmk,nombre,url_tfmk,nombre_tfmk,bandera,fecha_nacimiento,edad,pais,altura,posicion,pie,fecha_fichaje,id_equipo
0,331549,Serigne Mor Mbaye,/serigne-mor-mbaye/profil/spieler/331549,serigne-mor-mbaye,https://tmssl.akamaized.net/images/flagge/verysmall/149.png?lm=1520611569,03/01/1996,28,Senegal,1.90,Portero,derecho,15/02/2019,21101
1,448696,Michael Lansing,/michael-lansing/profil/spieler/448696,michael-lansing,https://tmssl.akamaized.net/images/flagge/verysmall/184.png?lm=1520611569,13/06/1994,29,Estados Unidos,1.93,Portero,derecho,31/01/2024,21101
2,946000,Adrian Sæther,/adrian-saether/profil/spieler/946000,adrian-saether,https://tmssl.akamaized.net/images/flagge/verysmall/125.png?lm=1520611569,01/06/2001,22,Noruega,1.97,Portero,derecho,05/04/2023,21101
3,698969,Max Williamsen,/max-williamsen/profil/spieler/698969,max-williamsen,https://tmssl.akamaized.net/images/flagge/verysmall/125.png?lm=1520611569,24/07/2003,20,Noruega,1.91,Defensa central,derecho,12/09/2018,21101
4,792523,Marius Olsen,/marius-olsen/profil/spieler/792523,marius-olsen,https://tmssl.akamaized.net/images/flagge/verysmall/125.png?lm=1520611569,14/05/2001,22,Noruega,1.90,Defensa central,derecho,29/03/2023,21101
5,501833,Sebastian Jarl,/sebastian-jarl/profil/spieler/501833,sebastian-jarl,https://tmssl.akamaized.net/images/flagge/verysmall/125.png?lm=1520611569,11/01/2000,24,Noruega,1.88,Defensa central,derecho,08/01/2022,21101
6,230141,Andreas Hopmark,/andreas-hopmark/profil/spieler/230141,andreas-hopmark,https://tmssl.akamaized.net/images/flagge/verysmall/125.png?lm=1520611569,06/07/1991,32,Noruega,1.92,Defensa central,derecho,01/01/2010,21101
7,155555,Dan Peter Ulvestad,/dan-peter-ulvestad/profil/spieler/155555,dan-peter-ulvestad,https://tmssl.akamaized.net/images/flagge/verysmall/125.png?lm=1520611569,04/04/1989,34,Noruega,1.89,Defensa central,derecho,01/01/2013,21101
8,906231,Bendik Brevik,/bendik-brevik/profil/spieler/906231,bendik-brevik,https://tmssl.akamaized.net/images/flagge/verysmall/125.png?lm=1520611569,01/03/2003,20,Noruega,1.92,Defensa central,derecho,26/11/2021,21101
9,913412,Isak Hagen Aalberg,/isak-hagen-aalberg/profil/spieler/913412,isak-hagen-aalberg,https://tmssl.akamaized.net/images/flagge/verysmall/125.png?lm=1520611569,11/05/2005,18,Noruega,1.91,Defensa central,izquierdo,01/08/2021,21101
10,136166,Christoffer Aasbak,/christoffer-aasbak/profil/spieler/136166,christoffer-aasbak,https://tmssl.akamaized.net/images/flagge/verysmall/125.png?lm=1520611569,22/07/1993,30,Noruega,1.87,Lateral izquierdo,izquierdo,08/01/2017,21101
11,1165127,Andreas Bakeng-Rogne,/andreas-bakeng-rogne/profil/spieler/1165127,andreas-bakeng-rogne,https://tmssl.akamaized.net/images/flagge/verysmall/125.png?lm=1520611569,19/12/2004,19,Noruega,-,Centrocampista, ,01/08/2023,21101
12,797945,Ruben Alte,/ruben-alte/profil/spieler/797945,ruben-alte,https://tmssl.akamaized.net/images/flagge/verysmall/125.png?lm=1520611569,28/02/2000,23,Noruega,1.77,Mediocentro,izquierdo,07/02/2024,21101
13,909663,Heine Gikling Bruseth,/heine-gikling-bruseth/profil/spieler/909663,heine-gikling-bruseth,https://tmssl.akamaized.net/images/flagge/verysmall/125.png?lm=1520611569,06/04/2004,19,Noruega,1.77,Mediocentro, ,27/08/2021,21101
