,id_liga,url_tfmk,nombre,enlace_img_liga,id_pais,num_clubes,num_jugadores,edad_media,porcentaje_extranjeros,valor_de_mercado_medio,valor_de_mercado_total
0,GB1,/premier-league/startseite/wettbewerb/GB1,Premier League,https://tmssl.akamaized.net/images/logo/tiny/gb1.png?lm=1521104656,189,20,534,26.6,"67,8 %",542.66,10000.85
1,ES1,/laliga/startseite/wettbewerb/ES1,LaLiga,https://tmssl.akamaized.net/images/logo/tiny/es1.png?lm=1688466074,157,20,498,27.5,"42,6 %",247.85,4000.96
2,IT1,/serie-a/startseite/wettbewerb/IT1,Serie A,https://tmssl.akamaized.net/images/logo/tiny/it1.png?lm=1656073460,75,20,554,26.6,"63,7 %",232.58,4000.65
3,L1,/bundesliga/startseite/wettbewerb/L1,Bundesliga,https://tmssl.akamaized.net/images/logo/tiny/l1.png?lm=1525905518,40,18,504,26.2,"48,8 %",247.11,4000.45
4,FR1,/ligue-1/startseite/wettbewerb/FR1,Ligue 1,https://tmssl.akamaized.net/images/logo/tiny/fr1.png?lm=1702413832,50,18,467,25.5,"58,9 %",201.18,3000.62
5,PO1,/liga-portugal/startseite/wettbewerb/PO1,Liga Portugal,https://tmssl.akamaized.net/images/logo/tiny/po1.png?lm=1688630708,136,18,500,26.0,"61,4 %",75.98,1000.37
6,NL1,/eredivisie/startseite/wettbewerb/NL1,Eredivisie,https://tmssl.akamaized.net/images/logo/tiny/nl1.png?lm=1674743474,122,18,487,24.7,"47,0 %",69.14,1000.24
7,TR1,/super-lig/startseite/wettbewerb/TR1,Süper Lig,https://tmssl.akamaized.net/images/logo/tiny/tr1.png?lm=1705321006,174,20,602,26.7,"49,2 %",55.4,1000.11
8,BE1,/jupiler-pro-league/startseite/wettbewerb/BE1,Jupiler Pro League,https://tmssl.akamaized.net/images/logo/tiny/be1.png?lm=1601478124,19,16,442,24.8,"60,2 %",57.64,922.28
9,RU1,/premier-liga/startseite/wettbewerb/RU1,Premier Liga,https://tmssl.akamaized.net/images/logo/tiny/ru1.png?lm=1674741180,141,16,420,26.2,"38,6 %",53.39,854.18
10,GR1,/super-league-1/startseite/wettbewerb/GR1,Super League 1,https://tmssl.akamaized.net/images/logo/tiny/gr1.png?lm=1460983749,56,14,423,27.5,"60,5 %",33.13,463.88
11,A1,/bundesliga/startseite/wettbewerb/A1,Bundesliga,https://tmssl.akamaized.net/images/logo/tiny/a1.png?lm=1625144794,127,12,334,24.8,"40,7 %",34.79,417.53
12,SC1,/scottish-premiership/startseite/wettbewerb/SC1,Scottish Premiership,https://tmssl.akamaized.net/images/logo/tiny/sc1.png?lm=1404071829,190,12,321,26.4,"64,2 %",28.53,342.36
13,C1,/super-league/startseite/wettbewerb/C1,Super League,https://tmssl.akamaized.net/images/logo/tiny/c1.png?lm=1656407730,148,12,365,25.1,"59,2 %",27.22,326.65
14,UKR1,/premier-de-ucrania/startseite/wettbewerb/UKR1,Premier de Ucrania,https://tmssl.akamaized.net/images/logo/tiny/ukr1.png?lm=1637135523,177,16,444,25.6,"18,5 %",19.96,319.34
15,DK1,/superliga/startseite/wettbewerb/DK1,Superliga,https://tmssl.akamaized.net/images/logo/tiny/dk1.png?lm=1648289858,39,12,323,25.1,"45,5 %",26.49,317.93
16,PL1,/pko-bp-ekstraklasa/startseite/wettbewerb/PL1,PKO BP Ekstraklasa,https://tmssl.akamaized.net/images/logo/tiny/pl1.png?lm=1601990839,135,18,545,25.6,"38,7 %",14.8,266.45
17,SER1,/super-liga-srbije/startseite/wettbewerb/SER1,Super liga Srbije,https://tmssl.akamaized.net/images/logo/tiny/ser1.png?lm=1659602188,215,16,499,24.8,"23,8 %",16.2,259.18
18,TS1,/fortuna-liga/startseite/wettbewerb/TS1,Fortuna Liga,https://tmssl.akamaized.net/images/logo/tiny/ts1.png?lm=1704133970,172,16,463,25.9,"28,7 %",15.35,245.64
19,KR1,/supersport-hnl/startseite/wettbewerb/KR1,SuperSport HNL,https://tmssl.akamaized.net/images/logo/tiny/kr1.png?lm=1667669232,37,10,300,24.9,"33,7 %",23.1,231.04
20,SE1,/allsvenskan/startseite/wettbewerb/SE1,Allsvenskan,https://tmssl.akamaized.net/images/logo/tiny/se1.png?lm=1618018440,147,16,422,25.0,"35,3 %",13.95,223.24
21,RO1,/superliga/startseite/wettbewerb/RO1,SuperLiga,https://tmssl.akamaized.net/images/logo/tiny/ro1.png?lm=1703230805,140,16,491,26.0,"38,3 %",13.54,216.67
22,NO1,/eliteserien/startseite/wettbewerb/NO1,Eliteserien,https://tmssl.akamaized.net/images/logo/tiny/no1.png?lm=1481571796,125,16,413,24.4,"24,9 %",13.29,212.68
23,BU1,/efbet-liga/startseite/wettbewerb/BU1,efbet Liga,https://tmssl.akamaized.net/images/logo/tiny/bu1.png?lm=1566396154,28,16,396,25.6,"44,9 %",10.29,164.58
24,ZYP1,/protathlima-cyta/startseite/wettbewerb/ZYP1,Protathlima Cyta,https://tmssl.akamaized.net/images/logo/tiny/zyp1.png?lm=1629801510,188,14,416,26.9,"64,4 %",11.3,158.23
