,id_club_tfmk,nombre_club,url_club_tfmk,nombre_club_tfmk,escudo_club,edad_media_club,valor_mercado_millones_euros_club,id_liga_tfmk,temporada
0,27,Bayern Múnich,/fc-bayern-munchen/startseite/verein/27/saison_id/2014,fc-bayern-munchen,https://tmssl.akamaized.net/images/wappen/tiny/27_1498251266.png?lm=1498251266,25.5,575.13,L1,2014
1,16,Borussia Dortmund,/borussia-dortmund/startseite/verein/16/saison_id/2014,borussia-dortmund,https://tmssl.akamaized.net/images/wappen/tiny/16.png?lm=1396275280,24.7,319.5,L1,2014
2,82,VfL Wolfsburgo,/vfl-wolfsburg/startseite/verein/82/saison_id/2014,vfl-wolfsburg,https://tmssl.akamaized.net/images/wappen/tiny/82.png?lm=1503060755,25.9,221.05,L1,2014
3,33,FC Schalke 04,/fc-schalke-04/startseite/verein/33/saison_id/2014,fc-schalke-04,https://tmssl.akamaized.net/images/wappen/tiny/33.png?lm=1656580846,24.0,212.0,L1,2014
4,15,Bayer 04 Leverkusen,/bayer-04-leverkusen/startseite/verein/15/saison_id/2014,bayer-04-leverkusen,https://tmssl.akamaized.net/images/wappen/tiny/15.png?lm=1651221781,24.9,177.35,L1,2014
5,18,Borussia Mönchengladbach,/borussia-monchengladbach/startseite/verein/18/saison_id/2014,borussia-monchengladbach,https://tmssl.akamaized.net/images/wappen/tiny/18.png?lm=1656585796,25.9,130.63,L1,2014
6,533,TSG 1899 Hoffenheim,/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2014,tsg-1899-hoffenheim,https://tmssl.akamaized.net/images/wappen/tiny/533.png?lm=1675591766,24.4,121.78,L1,2014
7,39,1.FSV Mainz 05,/1-fsv-mainz-05/startseite/verein/39/saison_id/2014,1-fsv-mainz-05,https://tmssl.akamaized.net/images/wappen/tiny/39_1566637084.png?lm=1566637084,24.9,88.0,L1,2014
8,41,Hamburgo SV,/hamburger-sv/startseite/verein/41/saison_id/2014,hamburger-sv,https://tmssl.akamaized.net/images/wappen/tiny/41_1597319408.png?lm=1597319385,25.2,87.15,L1,2014
9,79,VfB Stuttgart,/vfb-stuttgart/startseite/verein/79/saison_id/2014,vfb-stuttgart,https://tmssl.akamaized.net/images/wappen/tiny/79.png?lm=1680587427,24.7,86.95,L1,2014
