,id_tfmk,nombre,enlace_tfmk,nombre_tfmk,escudo,edad_media,valor_mercado_millones_euros,id_liga
0,583,París Saint-Germain FC,/fc-paris-saint-germain/startseite/verein/583/saison_id/2023,fc-paris-saint-germain,https://tmssl.akamaized.net/images/wappen/tiny/583.png?lm=1522312728,25.2,1000.05,FR1
1,162,AS Mónaco,/as-monaco/startseite/verein/162/saison_id/2023,as-monaco,https://tmssl.akamaized.net/images/wappen/tiny/162.png?lm=1654781919,23.8,352.2,FR1
2,417,OGC Niza,/ogc-nizza/startseite/verein/417/saison_id/2023,ogc-nizza,https://tmssl.akamaized.net/images/wappen/tiny/417.png?lm=1408779490,23.8,272.7,FR1
3,273,Stade Rennais FC,/fc-stade-rennes/startseite/verein/273/saison_id/2023,fc-stade-rennes,https://tmssl.akamaized.net/images/wappen/tiny/273.png?lm=1691503972,23.8,265.35,FR1
4,244,Olympique de Marsella,/olympique-marseille/startseite/verein/244/saison_id/2023,olympique-marseille,https://tmssl.akamaized.net/images/wappen/tiny/244.png?lm=1485642163,25.2,253.85,FR1
5,1082,LOSC Lille,/losc-lille/startseite/verein/1082/saison_id/2023,losc-lille,https://tmssl.akamaized.net/images/wappen/tiny/1082.png?lm=1529521041,25.7,218.0,FR1
6,826,RC Lens,/rc-lens/startseite/verein/826/saison_id/2023,rc-lens,https://tmssl.akamaized.net/images/wappen/tiny/826.png?lm=1595457059,25.7,202.65,FR1
7,1041,Olympique de Lyon,/olympique-lyon/startseite/verein/1041/saison_id/2023,olympique-lyon,https://tmssl.akamaized.net/images/wappen/tiny/1041.png?lm=1656668172,24.9,196.3,FR1
8,667,Racing Club de Estrasburgo,/rc-strassburg-alsace/startseite/verein/667/saison_id/2023,rc-strassburg-alsace,https://tmssl.akamaized.net/images/wappen/tiny/667.png?lm=1664991833,24.4,121.35,FR1
9,1158,FC Lorient,/fc-lorient/startseite/verein/1158/saison_id/2023,fc-lorient,https://tmssl.akamaized.net/images/wappen/tiny/1158.png?lm=1406642498,24.7,114.75,FR1
10,1421,Stade de Reims,/stade-reims/startseite/verein/1421/saison_id/2023,stade-reims,https://tmssl.akamaized.net/images/wappen/tiny/1421.png?lm=1592601839,24.6,110.6,FR1
11,969,Montpellier HSC,/montpellier-hsc/startseite/verein/969/saison_id/2023,montpellier-hsc,https://tmssl.akamaized.net/images/wappen/tiny/969.png?lm=1459072367,25.2,101.65,FR1
12,995,FC Nantes,/fc-nantes/startseite/verein/995/saison_id/2023,fc-nantes,https://tmssl.akamaized.net/images/wappen/tiny/995.png?lm=1581355747,26.2,93.75,FR1
13,415,Toulouse FC,/fc-toulouse/startseite/verein/415/saison_id/2023,fc-toulouse,https://tmssl.akamaized.net/images/wappen/tiny/415.png?lm=1530117274,23.1,85.85,FR1
14,3911,Stade Brestois 29,/stade-brest-29/startseite/verein/3911/saison_id/2023,stade-brest-29,https://tmssl.akamaized.net/images/wappen/tiny/3911.png?lm=1408780312,25.8,80.65,FR1
15,738,Le Havre AC,/ac-le-havre/startseite/verein/738/saison_id/2023,ac-le-havre,https://tmssl.akamaized.net/images/wappen/tiny/738.png?lm=1408780648,25.2,60.3,FR1
16,3524,Clermont Foot 63,/clermont-foot-63/startseite/verein/3524/saison_id/2023,clermont-foot-63,https://tmssl.akamaized.net/images/wappen/tiny/3524.png?lm=1625739356,26.5,51.4,FR1
17,347,FC Metz,/fc-metz/startseite/verein/347/saison_id/2023,fc-metz,https://tmssl.akamaized.net/images/wappen/tiny/347.png?lm=1625391843,24.8,45.2,FR1
